opened_at,status,event_slug,event_title,market_slug,question,group_item_title,side,entry_mode,paper_source,stake_usdc,price,fee_per_share,shares,fair_probability,net_edge,strategy_version,strategy_candidate_id,execution_quality,execution_slippage,maker_preferred,maker_quote_price,maker_fill_score,maker_reason,maker_edge_if_filled,maker_worst_edge,robust_reason,worst_edge,stress_pass_rate,decision_reason,risk_flags,visible_top_bucket,visible_top_bucket_probability,visible_bucket_rank,visible_bucket_count,fair_yes_probability,fair_no_probability,yes_net_edge,no_net_edge,expected_payout_usdc,expected_pnl_usdc,prediction_c,interval_lower,interval_upper,interval_unit,end_date,market_has_ended,actual_value,actual_status,won,payout_usdc,pnl_usdc,roi_pct,trade_id
2026-05-05T09:15:24+00:00,open,highest-temperature-in-moscow-on-may-5-2026,Highest temperature in Moscow on May 5?,highest-temperature-in-moscow-on-may-5-2026-25c,Highest temperature in Moscow on May 5?,25°C,BUY_NO,taker,strategy_lab,5.0,0.64,0.01152,7.674361,0.927102,0.275582,strategy_lab_v2,highest-temperature-in-moscow-on-may-5-2026|highest-temperature-in-moscow-on-may-5-2026-25c|BUY_NO,fair,0.01,0,0.595,0.58625,"maker viable, taker expected value is higher",0.322102,0.22758,passes all stress and execution checks,0.171205,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 23°C,,23°C,,4,5,,,,,7.1149,2.1149,22.559316,24.5,25.5,celsius,,0,,,,,,,ab4a1603b84effd2
2026-05-05T09:15:24+00:00,open,highest-temperature-in-tokyo-on-may-5-2026,Highest temperature in Tokyo on May 5?,highest-temperature-in-tokyo-on-may-5-2026-23corhigher,Highest temperature in Tokyo on May 5?,23°C or higher,BUY_NO,taker,strategy_lab,5.0,0.63,0.011655,7.792349,0.987553,0.345898,strategy_lab_v2,highest-temperature-in-tokyo-on-may-5-2026|highest-temperature-in-tokyo-on-may-5-2026-23corhigher|BUY_NO,fair,0.01,0,0.605,0.465,"maker viable, taker expected value is higher",0.372553,0.212882,passes all stress and execution checks,0.176362,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 19°C,,19°C,,5,5,,,,,7.6954,2.6954,19.135432,22.5,,celsius,,0,,,,,,,63e994efcfe187bf
2026-05-05T09:15:24+00:00,open,highest-temperature-in-beijing-on-may-5-2026,Highest temperature in Beijing on May 5?,highest-temperature-in-beijing-on-may-5-2026-31c,Highest temperature in Beijing on May 5?,31°C,BUY_NO,taker,strategy_lab,5.0,0.675,0.010969,7.288962,0.959999,0.27403,strategy_lab_v2,highest-temperature-in-beijing-on-may-5-2026|highest-temperature-in-beijing-on-may-5-2026-31c|BUY_NO,fair,0.015,0,0.625,0.45375,"maker viable, taker expected value is higher",0.324999,0.241612,passes all stress and execution checks,0.180823,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 28°C or below,,28°C or below,,4,5,,,,,6.9974,1.9974,28.040701,30.5,31.5,celsius,,0,,,,,,,86295aa4d946c198
2026-05-05T09:15:24+00:00,open,highest-temperature-in-ankara-on-may-5-2026,Highest temperature in Ankara on May 5?,highest-temperature-in-ankara-on-may-5-2026-12c,Highest temperature in Ankara on May 5?,12°C,BUY_NO,taker,strategy_lab,5.0,0.57,0.012255,8.587303,0.746508,0.164253,strategy_lab_v2,highest-temperature-in-ankara-on-may-5-2026|highest-temperature-in-ankara-on-may-5-2026-12c|BUY_NO,good,0.0,0,0.565,0.625,"maker viable, taker expected value is higher",0.171508,0.171508,passes all stress and execution checks,0.154328,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 13°C or higher,,13°C or higher,,2,5,,,,,6.4105,1.4105,12.372044,11.5,12.5,celsius,,0,,,,,,,ed6ee0a63a2b906c
2026-05-05T09:15:24+00:00,open,highest-temperature-in-singapore-on-may-5-2026,Highest temperature in Singapore on May 5?,highest-temperature-in-singapore-on-may-5-2026-33c,Highest temperature in Singapore on May 5?,33°C,BUY_NO,taker,strategy_lab,5.0,0.665,0.011139,7.394932,0.93286,0.256721,strategy_lab_v2,highest-temperature-in-singapore-on-may-5-2026|highest-temperature-in-singapore-on-may-5-2026-33c|BUY_NO,fair,0.005,0,0.655,0.6325,"maker viable, taker expected value is higher",0.26786,0.175597,passes all stress and execution checks,0.154628,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 30°C,,30°C,,4,5,,,,,6.8984,1.8984,30.481878,32.5,33.5,celsius,,0,,,,,,,c776a94503ad31a0
2026-05-05T09:15:24+00:00,open,lowest-temperature-in-miami-on-may-6-2026,Lowest temperature in Miami on May 6?,lowest-temperature-in-miami-on-may-6-2026-74-75f,Lowest temperature in Miami on May 6?,74-75°F,BUY_NO,taker,strategy_lab,5.0,0.645,0.011449,7.616741,0.918895,0.262446,strategy_lab_v2,lowest-temperature-in-miami-on-may-6-2026|lowest-temperature-in-miami-on-may-6-2026-74-75f|BUY_NO,fair,0.005,0,0.635,0.5025,"maker viable, taker expected value is higher",0.273895,0.169637,passes all stress and execution checks,0.148338,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 70-71°F,,70-71°F,,3,5,,,,,6.999,1.999,21.443101,74.0,76.0,fahrenheit,,0,,,,,,,701dba57726e2208
2026-05-05T09:15:24+00:00,open,lowest-temperature-in-london-on-may-6-2026,Lowest temperature in London on May 6?,lowest-temperature-in-london-on-may-6-2026-9c,Lowest temperature in London on May 6?,9°C,BUY_NO,taker,strategy_lab,5.0,0.735,0.009739,6.713764,0.965105,0.220366,strategy_lab_v2,lowest-temperature-in-london-on-may-6-2026|lowest-temperature-in-london-on-may-6-2026-9c|BUY_NO,fair,0.015,0,0.695,0.3525,"maker viable, taker expected value is higher",0.260105,0.177878,passes all stress and execution checks,0.128379,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 6°C,,6°C,,4,5,,,,,6.4795,1.4795,5.934924,8.5,9.5,celsius,,0,,,,,,,610f7cc883e543b2
2026-05-05T09:15:24+00:00,open,highest-temperature-in-shanghai-on-may-5-2026,Highest temperature in Shanghai on May 5?,highest-temperature-in-shanghai-on-may-5-2026-26c,Highest temperature in Shanghai on May 5?,26°C,BUY_NO,taker,strategy_lab,5.0,0.735,0.009739,6.713764,0.955494,0.210755,strategy_lab_v2,highest-temperature-in-shanghai-on-may-5-2026|highest-temperature-in-shanghai-on-may-5-2026-26c|BUY_NO,fair,0.005,0,0.715,0.54,"maker viable, taker expected value is higher",0.230494,0.14657,passes all stress and execution checks,0.117071,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 23°C,,23°C,,4,5,,,,,6.415,1.415,23.126049,25.5,26.5,celsius,,0,,,,,,,ad330fe86c15c800
2026-05-05T09:15:24+00:00,open,highest-temperature-in-tokyo-on-may-5-2026,Highest temperature in Tokyo on May 5?,highest-temperature-in-tokyo-on-may-5-2026-22c,Highest temperature in Tokyo on May 5?,22°C,BUY_NO,taker,strategy_lab,5.0,0.74,0.00962,6.670046,0.954978,0.205358,strategy_lab_v2,highest-temperature-in-tokyo-on-may-5-2026|highest-temperature-in-tokyo-on-may-5-2026-22c|BUY_NO,good,0.0,0,0.725,0.6025,"maker viable, taker expected value is higher",0.219978,0.136017,passes all stress and execution checks,0.111642,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 19°C,,19°C,,4,5,,,,,6.3697,1.3697,19.135432,21.5,22.5,celsius,,0,,,,,,,a8c3a6f3d67da125
2026-05-05T09:15:24+00:00,open,highest-temperature-in-busan-on-may-5-2026,Highest temperature in Busan on May 5?,highest-temperature-in-busan-on-may-5-2026-21c,Highest temperature in Busan on May 5?,21°C,BUY_NO,taker,strategy_lab,5.0,0.655,0.011299,7.504141,0.868805,0.202506,strategy_lab_v2,highest-temperature-in-busan-on-may-5-2026|highest-temperature-in-busan-on-may-5-2026-21c|BUY_NO,fair,0.015,0,0.615,0.3775,"maker viable, taker expected value is higher",0.243805,0.146759,passes all stress and execution checks,0.09562,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 19°C,,19°C,,3,5,,,,,6.5196,1.5196,19.207248,20.5,21.5,celsius,,0,,,,,,,dd8f20eeb61af6d3
2026-05-05T09:15:24+00:00,open,highest-temperature-in-los-angeles-on-may-5-2026,Highest temperature in Los Angeles on May 5?,highest-temperature-in-los-angeles-on-may-5-2026-66-67f,Highest temperature in Los Angeles on May 5?,66-67°F,BUY_NO,taker,strategy_lab,5.0,0.625,0.011719,7.852761,0.841646,0.204927,strategy_lab_v2,highest-temperature-in-los-angeles-on-may-5-2026|highest-temperature-in-los-angeles-on-may-5-2026-66-67f|BUY_NO,fair,0.005,0,0.595,0.515,"maker viable, taker expected value is higher",0.236646,0.133329,passes all stress and execution checks,0.09174,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 62-63°F,,62-63°F,,4,5,,,,,6.6092,1.6092,17.761602,66.0,68.0,fahrenheit,,0,,,,,,,dcd056d969ca8b67
2026-05-05T09:15:24+00:00,open,highest-temperature-in-helsinki-on-may-5-2026,Highest temperature in Helsinki on May 5?,highest-temperature-in-helsinki-on-may-5-2026-12c,Highest temperature in Helsinki on May 5?,12°C,BUY_NO,taker,strategy_lab,5.0,0.645,0.011449,7.616741,0.822546,0.166097,strategy_lab_v2,highest-temperature-in-helsinki-on-may-5-2026|highest-temperature-in-helsinki-on-may-5-2026-12c|BUY_NO,fair,0.005,0,0.615,0.515,"maker viable, taker expected value is higher",0.197546,0.12038,passes all stress and execution checks,0.079081,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 13°C,,13°C,,3,5,,,,,6.2651,1.2651,13.343051,11.5,12.5,celsius,,0,,,,,,,a95e0e2410651b97
2026-05-05T09:15:24+00:00,open,highest-temperature-in-atlanta-on-may-5-2026,Highest temperature in Atlanta on May 5?,highest-temperature-in-atlanta-on-may-5-2026-76-77f,Highest temperature in Atlanta on May 5?,76-77°F,BUY_YES,taker,strategy_lab,5.0,0.05,0.002375,95.465394,0.288678,0.236303,strategy_lab_v2,highest-temperature-in-atlanta-on-may-5-2026|highest-temperature-in-atlanta-on-may-5-2026-76-77f|BUY_YES,good,0.0,0,0.045,0.625,"maker viable, taker expected value is higher",0.233678,0.105996,passes all stress and execution checks,0.098176,1.0,BUY_YES: our bucket probability is above market ask after fee; rank 1 of 5,model top bucket,76-77°F,,1,5,,,,,27.5588,22.5588,25.059308,76.0,78.0,fahrenheit,,0,,,,,,,4aef1214c52fdb7c
2026-05-05T09:15:24+00:00,open,highest-temperature-in-sao-paulo-on-may-5-2026,Highest temperature in Sao Paulo on May 5?,highest-temperature-in-sao-paulo-on-may-5-2026-29c,Highest temperature in Sao Paulo on May 5?,29°C,BUY_NO,taker,strategy_lab,5.0,0.71,0.010295,6.9416,0.921228,0.200933,strategy_lab_v2,highest-temperature-in-sao-paulo-on-may-5-2026|highest-temperature-in-sao-paulo-on-may-5-2026-29c|BUY_NO,good,0.0,0,0.705,0.625,"maker viable, taker expected value is higher",0.206228,0.109833,passes all stress and execution checks,0.094753,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 27°C,,27°C,,3,5,,,,,6.3948,1.3948,26.63458,28.5,29.5,celsius,,0,,,,,,,4bc6b7171ceb2cec
2026-05-05T09:15:24+00:00,open,highest-temperature-in-madrid-on-may-5-2026,Highest temperature in Madrid on May 5?,highest-temperature-in-madrid-on-may-5-2026-20c,Highest temperature in Madrid on May 5?,20°C,BUY_NO,taker,strategy_lab,5.0,0.65,0.011375,7.560008,0.829195,0.16782,strategy_lab_v2,highest-temperature-in-madrid-on-may-5-2026|highest-temperature-in-madrid-on-may-5-2026-20c|BUY_NO,good,0.0,0,0.635,0.6025,"maker viable, taker expected value is higher",0.184195,0.10302,passes all stress and execution checks,0.0768,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 19°C,,19°C,,3,5,,,,,6.2687,1.2687,18.592127,19.5,20.5,celsius,,0,,,,,,,0a944e8ae3b46f5a
2026-05-05T09:15:24+00:00,open,highest-temperature-in-nyc-on-may-5-2026,Highest temperature in NYC on May 5?,highest-temperature-in-nyc-on-may-5-2026-78-79f,Highest temperature in NYC on May 5?,78-79°F,BUY_NO,taker,strategy_lab,5.0,0.66,0.01122,7.449122,0.866346,0.195126,strategy_lab_v2,highest-temperature-in-nyc-on-may-5-2026|highest-temperature-in-nyc-on-may-5-2026-78-79f|BUY_NO,good,0.0,0,0.655,0.695,"maker viable, taker expected value is higher",0.201346,0.092242,passes all stress and execution checks,0.076187,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 82-83°F,,82-83°F,,3,5,,,,,6.4535,1.4535,28.016489,78.0,80.0,fahrenheit,,0,,,,,,,593f7e7fdc1bcde0
